created_at,user,followers_count,location,retweet_count,retweeted,userRT,full_text
2021-06-27 20:44:54,ABCDeportes,392602.0,Paraguay,1.0,0.0,ABCCardinal,RT 📋 Equipo confirmado de #Ecuador 🇪🇨1.Hernán Galíndez17.Angelo Preciado4.Robert Arboleda3.Piero Hincapié27.Diego Palacios21.Alan Franco23.Moisés Caicedo20.Jhegson Méndez7.Pervis Estupiñán18.Ayrton Preciado13.Enner Valencia📻 #730AM - 107.1 FM en CDE.
2021-06-27 21:08:38,LaRadioRedonda,63063.0,Ecuador,0.0,0.0,,⏰ 5' del 1T: Falta de Diego Palacios tiro libre a favor de @CBF_Futebol.#Ecuador 🇪🇨 0-0 🇧🇷 #Brasil#CopaAméricaxLaRadioRedonda 🏆https://t.co/xXhc5WxwwY
2021-06-27 23:18:24,sllano81,294.0,Quito,174.0,0.0,DiegoArcos14,RT Recotizacion suprema en selección de Ecuador:Piero Hincapié y Jhegson Mendez al alza bestial en bolsa d valores de jugadores en ficticio Wall Street pelotero
2021-06-27 20:32:01,LaRedEcuador,170472.0,Quito/Ecuador,1.0,0.0,,¡Suplentes @LaTri!12. Pedro Ortiz22. Alexander Domínguez2. Félix Torres6. Cristhian Noboa11. Michael Estrada9. Leonardo Campana14. Xavier Arreaga8. Fidel Martínez16. Mario Pineida15. Ángel Mena26. Jordy Caicedo 19. Gonzalo Plata#CopaAmérica #LaRadioQueSiempreEstá
2021-06-21 17:08:02,MundoDeporEC,14282.0,Ecuador,6.0,0.0,,🗣️Esteban Paz directivo de @LDU_Oficial nuevo DT tema Pedro Perlaza Selección y Copa Ecuador.@camilin86 @TarcisioRomero 🔊La nota completa aquí:https://t.co/5OrE34rVXD
2021-06-23 17:37:42,SantiagoPuebl14,123.0,Quito - Ecuador,2.0,0.0,LaRadioRedonda,RT CAMBIOS EN EL ONCEKitu Díaz Hernan Galíndez y Leo Campana serían titulares esta tarde en el once inicial de #Ecuador para enfrentar a Perú.La formación para hoy sería: Galindez; Preciado Arboleda Hincapié Estupiñán; Mendez Moises Caicedo Franco Preciado Diaz Campana. https://t.co/4rKMQ7u1nG
2021-06-26 21:56:29,futbolecuador,260369.0,Ecuador,3.0,0.0,,#SupercopaEcuador. #BSC 0-1 #LDUQ. ¡Final del partido! Liga de Quito Campeón de la Supercopa Ecuador 2021 La Figura: Jordy Alcívar ¿Para ti?Todos los detalles aquí https://t.co/mZmEquR8M6
2021-06-23 03:25:32,PuroFtbol13,89.0,,0.0,0.0,,COPA AMÉRICA 2020🇪🇨 Ecuador 🇪🇨Lista de convocadosDT Gustavo Alfaro 🇦🇷PORTEROS:1 Hernán Galíndez (Universidad Católica)12 Pedro Ortíz (Emelec)22 Alexander Domínguez (Vélez Sarsfield 🇦🇷)
2021-06-27 20:23:37,alefierro_87,1707.0,Guayaquil-Ecuador,0.0,0.0,,Gustavo Alfaro se la juega con Pervis Estupiñán ahora como volante o extremo de izquierda. Diego Palacios asume la responsabilidad de ser el lateral. #CopaAmérica
2021-06-27 23:43:25,SantiagoPuebl14,123.0,Quito - Ecuador,3.0,0.0,SoyCarlosBailon,RT Hoy quedó clarísima la titularidad de Hernán Galíndez en el arco ecuatoriano muy seguro y profesional. Sea quien sea nuestro siguiente rival a unirnos todos en una sola fuerza vamos Ecuador 🇪🇨💪🏻. https://t.co/GxqKTFBzWS
2021-06-28 03:53:04,LAFCCentralES,24.0,Los Angeles-CA,8.0,0.0,LaTri,RT ⏰ 71’ ¡Cambio en #LaTri!➡️ Gonzalo Plata ⬅️ Diego Palacios🤜🤛  #BRA 1 🆚 1 #ECU 🏆 CONMEBOL #CopaAmérica🗓 Fecha #5 - Grupo B🏟 Estadio Olímpico Pedro Ludovico Teixeira - Goiânia#VamosEcuador 🇪🇨 https://t.co/jhOL3B6Rph
2021-06-24 04:57:34,therepettoboys,1480.0,Entre Sangolquí y Soria,39.0,0.0,CopaAmerica,RT #CopaAmérica 🏆¡Dejó la vida! Hernán Galíndez 🇪🇨 salvó el empate en la última del partido🇪🇨 Ecuador 🆚 Perú 🇵🇪#VibraElContinente #VibraOContinente https://t.co/BYIyk7DkgZ
2021-06-24 20:54:07,seejaycuervo,4574.0,Y-kill-Aquabor-near Cimmeria,73.0,0.0,almadismo,RT Me llega la información que ha vuelto la inmadurez y el ser acomplejado a la selección Ecuatoriana. Molestias porque están los nacionalizados: Hernán Galíndez-Damian Díaz y un niño Rico que no baila salsa choke: Leonardo Campana.Bien lo dijo este señor...que pena.#Ecuador https://t.co/C9MqZyk1cj
2021-06-28 02:57:05,andresochoakev1,96.0,Guayaquil-Ecuador,138.0,0.0,MauricioOrtegaE,RT ¿Y AHORA QUE DIRÁ CARLOS TORRES DE HERNÁN GALINDEZ? NUESTRO COMPATRIOTA por naturalización fue figura en la clasificación de #Ecuador a los Cuartos de Final de la #CopaAmerica2021 pese a las críticas del DT #CarlosTorres por su convocatoria a #LaTri. Dale RT contra la XENOFOBIA ! https://t.co/IiMTKXFP3u
2021-06-24 00:00:16,Franklin_Aquino,682.0,Barcelona-España,39.0,0.0,CopaAmerica,RT #CopaAmérica 🏆¡Dejó la vida! Hernán Galíndez 🇪🇨 salvó el empate en la última del partido🇪🇨 Ecuador 🆚 Perú 🇵🇪#VibraElContinente #VibraOContinente https://t.co/BYIyk7DkgZ
2021-06-27 23:18:41,losidaysi677164,7.0,,5.0,0.0,LaTri,RT ⏰ 82’ ¡Doble sustitución en #LaTri!➡️ Mario Pineida  ⬅️ Ayrton Preciado➡️ Leonardo Campana⬅️ Enner Valencia🤜🤛  #BRA 1 🆚 1 #ECU 🏆 CONMEBOL #CopaAmérica🗓 Fecha #5 - Grupo B🏟 Estadio Olímpico Pedro Ludovico Teixeira - Goiânia#VamosEcuador 🇪🇨 https://t.co/YX41AnV2Do
2021-06-28 14:21:10,JJJaramillo3,482.0,,138.0,0.0,MauricioOrtegaE,RT ¿Y AHORA QUE DIRÁ CARLOS TORRES DE HERNÁN GALINDEZ? NUESTRO COMPATRIOTA por naturalización fue figura en la clasificación de #Ecuador a los Cuartos de Final de la #CopaAmerica2021 pese a las críticas del DT #CarlosTorres por su convocatoria a #LaTri. Dale RT contra la XENOFOBIA ! https://t.co/IiMTKXFP3u
2021-06-24 00:00:15,rubenquuispito1,31.0,,39.0,0.0,CopaAmerica,RT #CopaAmérica 🏆¡Dejó la vida! Hernán Galíndez 🇪🇨 salvó el empate en la última del partido🇪🇨 Ecuador 🆚 Perú 🇵🇪#VibraElContinente #VibraOContinente https://t.co/BYIyk7DkgZ
2021-06-23 03:06:50,fhermessi,271.0,,6.0,0.0,Guayaco_2020_,RT Ya que se regresen nomás Damián El Kitu Díaz Mario Pineida y Fernando León para que jueguen la final de la #SuperCopaEcuador2021 vs Liga de Quito. Igual en la #CopaAmerica 🇪🇨 nunca hace nada bueno.
2021-06-28 18:20:00,Aficion_Central,116738.0,Guayaquil-Ecuador,0.0,0.0,,El volante Carlos Gruezo se suma a la Tri para los cuartos de final de la #CopaAmérica https://t.co/TdBFHbYrrk
2021-06-28 04:58:00,Aficion_Central,116738.0,Guayaquil-Ecuador,1.0,0.0,,Hernán Galíndez desborda emoción al enviar mensaje tras clasificación de la Tri en #CopaAmérica https://t.co/zcmvpfLUK2
2021-06-27 23:43:07,SantiagoPuebl14,123.0,Quito - Ecuador,2.0,0.0,el11valle,RT #Ecuador el único del grupo que le sacó un empate a #Brasil resultado final 1x1. Goles de Militao y Ángel Mena #CopaAmerica2021 Ecuador ya está en 4tos de final. Buen partido de Jegson Méndez Ángel Mena Hernán Galíndez Hincapié Arboleda y Enner Valencia. https://t.co/H4WGxJdsi2
2021-06-24 00:11:12,DacomoRey,658.0,Lima-Peru ,39.0,0.0,CopaAmerica,RT #CopaAmérica 🏆¡Dejó la vida! Hernán Galíndez 🇪🇨 salvó el empate en la última del partido🇪🇨 Ecuador 🆚 Perú 🇵🇪#VibraElContinente #VibraOContinente https://t.co/BYIyk7DkgZ
2021-06-23 22:55:44,DeportesPU,554.0,Pichincha-Ecuador,1.0,0.0,,🔴 #ATENCIÓN | ¡Cambio en Ecuador!⬆️ Fidel Martínez⬇️ Ayrton Preciado🇪🇨 2-2 🇵🇪Fecha 4 - #CopaAméricaNo te pierdas el minuto a minuto ➡️ https://t.co/jf60psqjaG https://t.co/50jvHMZXXd
2021-06-28 14:13:17,EspinelNunez,169.0,,4.0,0.0,Jrnochi,RT Ecuador 🇪🇨 Carlos Gruezo se estará uniendo a la selección ecuatoriana después de superar el COVID-19 🎙 @majogavilanesa https://t.co/Jer29JplcL
2021-06-27 22:46:45,MarioAspiazu,1872.0,Guayaquil-Ecuador,5.0,0.0,LaTri,RT ⏰ 82’ ¡Doble sustitución en #LaTri!➡️ Mario Pineida  ⬅️ Ayrton Preciado➡️ Leonardo Campana⬅️ Enner Valencia🤜🤛  #BRA 1 🆚 1 #ECU 🏆 CONMEBOL #CopaAmérica🗓 Fecha #5 - Grupo B🏟 Estadio Olímpico Pedro Ludovico Teixeira - Goiânia#VamosEcuador 🇪🇨 https://t.co/YX41AnV2Do
2021-06-27 20:49:29,enelcamarin,57665.0,Chile,0.0,0.0,,Suplentes  Ecuador:9. Leonardo Campana19. Gonzalo Plata12. Pedro Ortiz22. Alexander Domínguez14 Xavier Arreaga15. Ángel Mena6. Christian Noboa8 Fidel Martínez16. Mario Pineida2. Félix Torres11. Michael Estrada26 Jordy Caicedohttps://t.co/JhQmnxkYZo#CopaAméricaxEEC
2021-06-20 23:20:38,joseluis_1326,22.0,Quito-Ecuador,1.0,0.0,,@chipilaso93 @LaTri Así es Hernan Galindez debe tener su oportunidad. Pedro Ortiz fracasó como arquero de la selección de Ecuador van 3 goles y se lo ve sin poder de reacción.
2021-06-28 01:44:44,FYagual37,112.0,,174.0,0.0,DiegoArcos14,RT Recotizacion suprema en selección de Ecuador:Piero Hincapié y Jhegson Mendez al alza bestial en bolsa d valores de jugadores en ficticio Wall Street pelotero
2021-06-24 00:00:35,luiscer95337664,0.0,,39.0,0.0,CopaAmerica,RT #CopaAmérica 🏆¡Dejó la vida! Hernán Galíndez 🇪🇨 salvó el empate en la última del partido🇪🇨 Ecuador 🆚 Perú 🇵🇪#VibraElContinente #VibraOContinente https://t.co/BYIyk7DkgZ
2021-06-27 22:51:46,JhonyJMor8,1337.0,Tabacundo-Pichincha-Ecuador,40.0,0.0,morenabeltran10,RT Gran ST de Jhegson Méndez. Su intuición de tiempo para estar bien ubicado y robar y más incrustado entre los centrales con pelota permitiéndole a Preciado pasar mucho más. Esa banda derecha con Alan Franco le dio salida limpia a Ecuador bajo presión.
2021-06-28 19:00:29,sanjosedechimbo,888.0,Provincia de Bolivar Ecuador ,42.0,0.0,marcadorec,RT Carlos Sevilla arremete contra la Tricolor; dice que por buscarle espacio a Damián Díaz Gustavo Alfaro no convocó a Junior Sornoza ► https://t.co/LhCQcRh3Ol https://t.co/Hzm82WwM8M
2021-06-23 23:59:30,Diego141987,4606.0,Uruguay,39.0,0.0,CopaAmerica,RT #CopaAmérica 🏆¡Dejó la vida! Hernán Galíndez 🇪🇨 salvó el empate en la última del partido🇪🇨 Ecuador 🆚 Perú 🇵🇪#VibraElContinente #VibraOContinente https://t.co/BYIyk7DkgZ
2021-06-27 22:57:36,SantiagoPuebl14,123.0,Quito - Ecuador,2.0,0.0,Buntingfootball,RT Brazil 1-0 ahead against Ecuador at the break with a goal from Éder Militão. Brazil have dominated with the ball but haven't actually forced Hernán Galíndez into many saves. Ecuador have been well organised defensively. Moisés Caicedo coming off injured is concerning for Ecuador.
2021-06-28 00:49:04,EnriqueJRivera,227.0,Guayaquil-Ecuador,1.0,0.0,el11valle,RT Entretiempo #Ecuador 0-1 #Brasil gol de Eder Militao. Luego de la salida de Moisés Caicedo por lesión  se trastoca el plan de Alfaro ingresa Mena y ubica a Ayrton por derecha. Lo de Palacios y Pervis por la zurda muy poco. Es urgente que ingrese Mario Pineida por uno de ellos.
